"CONTA_SUPERIOR","CLASSE_CONTABIL","BK_CONTA11","BK_CONTA10","BK_CONTA9","BK_CONTA8","BK_CONTA7","BK_CONTA6","BK_CONTA5","BK_CONTA4","BK_CONTA3","BK_CONTA2","BK_CONTA1","CT1_DESC01_11","CT1_DESC01_10","CT1_DESC01_9","CT1_DESC01_8","CT1_DESC01_7","CT1_DESC01_6","CT1_DESC01_5","CT1_DESC01_4","CT1_DESC01_3","CT1_DESC01_2","CT1_DESC01_1","CT1_CONTA_11","CT1_CONTA_10","CT1_CONTA_9","CT1_CONTA_8","CT1_CONTA_7","CT1_CONTA_6","CT1_CONTA_5","CT1_CONTA_4","CT1_CONTA_3","CT1_CONTA_2","CT1_CONTA_1","BK_AK5_CODIGO5"
"01 - INDEFINIDO","01 - INDEFINIDO","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","P |01|CT1200||","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","01 - INDEFINIDO","P |01|AK5200||"
"1                   ","1","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||11","P |01|CT1200||1","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11                  ","11                  ","11                  ","11                  ","11                  ","11                  ","11                  ","11                  ","11                  ","11                  ","1                   ","P |01|AK5200||"
"1                   ","1","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||12","P |01|CT1200||1","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12                  ","12                  ","12                  ","12                  ","12                  ","12                  ","12                  ","12                  ","12                  ","12                  ","1                   ","P |01|AK5200||"
"11                  ","1","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||1101","P |01|CT1200||11","P |01|CT1200||1","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","DISPONIBILIDADE                         ","ATIVO CIRCULANTE                        ","ATIVO                                   ","1101                ","1101                ","1101                ","1101                ","1101                ","1101                ","1101                ","1101                ","1101                ","11                  ","1                   ","P |01|AK5200||"
"11                  ","1","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","1102                ","1102                ","1102                ","1102                ","1102                ","1102                ","1102                ","1102                ","1102                ","11                  ","1                   ","P |01|AK5200||"
"1101                ","1","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||11011","P |01|CT1200||1101","P |01|CT1200||11","P |01|CT1200||1","CAIXA                                   ","CAIXA                                   ","CAIXA                                   ","CAIXA                                   ","CAIXA                                   ","CAIXA                                   ","CAIXA                                   ","CAIXA                                   ","DISPONIBILIDADE                         ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11011               ","11011               ","11011               ","11011               ","11011               ","11011               ","11011               ","11011               ","1101                ","11                  ","1                   ","P |01|AK5200||"
"1101                ","1","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||11012","P |01|CT1200||1101","P |01|CT1200||11","P |01|CT1200||1","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","BANCOS CONTA MOVIMENTO                  ","DISPONIBILIDADE                         ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11012               ","11012               ","11012               ","11012               ","11012               ","11012               ","11012               ","11012               ","1101                ","11                  ","1                   ","P |01|AK5200||"
"1101                ","1","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||11013","P |01|CT1200||1101","P |01|CT1200||11","P |01|CT1200||1","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","BANCOS C/ MOVIMENTO INCORPORADAS        ","DISPONIBILIDADE                         ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11013               ","11013               ","11013               ","11013               ","11013               ","11013               ","11013               ","11013               ","1101                ","11                  ","1                   ","P |01|AK5200||"
"1101                ","1","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||11014","P |01|CT1200||1101","P |01|CT1200||11","P |01|CT1200||1","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","BANCOS C/APLICACOES                     ","DISPONIBILIDADE                         ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11014               ","11014               ","11014               ","11014               ","11014               ","11014               ","11014               ","11014               ","1101                ","11                  ","1                   ","P |01|AK5200||"
"11011               ","2","P |01|CT1200||11011001","P |01|CT1200||11011001","P |01|CT1200||11011001","P |01|CT1200||11011001","P |01|CT1200||11011001","P |01|CT1200||11011001","P |01|CT1200||11011001","P |01|CT1200||11011","P |01|CT1200||1101","P |01|CT1200||11","P |01|CT1200||1","CAIXINHA WAYUP SERVICOS                 ","CAIXINHA WAYUP SERVICOS                 ","CAIXINHA WAYUP SERVICOS                 ","CAIXINHA WAYUP SERVICOS                 ","CAIXINHA WAYUP SERVICOS                 ","CAIXINHA WAYUP SERVICOS                 ","CAIXINHA WAYUP SERVICOS                 ","CAIXA                                   ","DISPONIBILIDADE                         ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11011001            ","11011001            ","11011001            ","11011001            ","11011001            ","11011001            ","11011001            ","11011               ","1101                ","11                  ","1                   ","P |01|AK5200||"
